Unnamed: 0,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Citizenship,Family Position,Attendance,Field of Study,Special Needs
3410,1,5,1,9670.0,1.0,1.0,,1,1,12,4.0,4.0,140.3,1,0,0,1,0,0,19,0.0,0,6.0,7,6.0,13.428571428571429,,0.0,6.0,6.0,4,14.0,0,12.4,0.5,1.79,Enrolled,Berlin,,Part-Time,Engineering,
2439,1,43,1,9670.0,1.0,,,1,34,34,,0.0,111.6,0,0,0,1,1,0,35,,1,5.0,5,,,0.0,0.0,5.0,5.0,0,0.0,0,9.4,-0.8,-3.12,Dropout,,,Part-Time,Science,Special Needs
3855,1,1,4,9773.0,1.0,1.0,,1,3,12,2.0,9.0,137.0,1,0,0,1,1,0,20,0.0,0,6.0,6,6.0,16.833333333333332,,0.0,6.0,6.0,6,16.666666666666668,0,8.9,1.4,3.51,Graduate,Budapest,,Online,Commerce,
31,1,51,1,9070.0,1.0,1.0,,1,42,3,125.0,124.0,130.0,1,0,0,1,1,0,20,0.0,2,6.0,7,6.0,12.833333333333334,,0.0,6.0,9.0,4,13.4,0,8.9,1.4,3.51,Graduate,Amsterdam,,Part-Time,Medicine,
4017,4,39,1,,0.0,1.0,,1,37,37,9.0,7.0,140.0,0,0,0,1,0,1,43,0.0,0,,6,0.0,,,,5.0,5.0,0,0.0,0,8.9,1.4,3.51,Dropout,Budapest,,Full-Time,Engineering,
2138,1,17,2,9556.0,1.0,1.0,122.0,1,19,38,4.0,8.0,118.3,1,0,0,1,0,1,19,0.0,0,7.0,7,7.0,11.971428571428572,0.0,0.0,8.0,8.0,8,14.4375,0,15.5,2.8,-4.06,Graduate,Oslo,Middle Child,Evening Classes,Arts,Special Needs
3449,1,1,2,,1.0,1.0,138.0,1,3,3,2.0,2.0,127.5,1,0,0,1,0,1,18,0.0,0,,7,7.0,,0.0,,8.0,9.0,8,14.58888888888889,0,16.2,0.3,-0.92,Graduate,London,First Child,Part-Time,Arts,Special Needs
610,1,1,2,9853.0,1.0,1.0,,1,37,37,191.0,182.0,106.1,1,0,1,1,0,1,20,0.0,0,7.0,7,7.0,13.857142857142858,,0.0,7.0,8.0,7,12.571428571428571,0,8.9,1.4,3.51,Graduate,Lisbon,,Part-Time,Medicine,
570,1,1,1,8014.0,0.0,1.0,,1,1,1,9.0,9.0,118.1,0,0,0,1,1,0,20,0.0,0,6.0,7,6.0,12.166666666666666,,0.0,6.0,9.0,6,12.0,0,7.6,2.6,0.32,Graduate,Milan,,Online,Arts,
2378,1,43,1,9991.0,0.0,1.0,136.0,1,3,4,2.0,2.0,133.9,0,0,0,0,1,0,26,0.0,8,12.0,12,8.0,11.25,0.0,3.0,8.0,8.0,3,11.333333333333334,0,7.6,2.6,0.32,Dropout,Zurich,Middle Child,Part-Time,Arts,No Special Needs
343,1,39,1,9003.0,1.0,3.0,,1,3,3,1.0,2.0,150.0,0,0,0,1,0,0,35,0.0,0,6.0,10,6.0,14.0,,0.0,6.0,11.0,6,13.1,0,16.2,0.3,-0.92,Graduate,Vienna,,Part-Time,Medicine,
2355,1,17,4,9670.0,1.0,1.0,122.0,1,3,1,2.0,3.0,119.6,1,0,0,1,1,0,18,0.0,0,6.0,8,6.0,13.625,0.0,0.0,6.0,7.0,6,14.285714285714286,0,11.1,0.6,2.02,Graduate,Venice,Youngest Child,Online,Engineering,No Special Needs
2685,1,1,2,9119.0,1.0,1.0,,1,1,38,141.0,192.0,122.5,1,0,0,1,1,0,20,0.0,0,5.0,7,5.0,10.8,,0.0,5.0,9.0,3,12.0,0,8.9,1.4,3.51,Enrolled,Helsinki,,Part-Time,Commerce,
2478,1,1,1,9500.0,1.0,1.0,128.0,1,1,19,4.0,7.0,125.6,1,0,0,1,1,0,18,0.0,0,7.0,7,7.0,12.444285714285714,0.0,0.0,8.0,11.0,7,11.347142857142858,0,12.4,0.5,1.79,Graduate,Venice,First Child,Part-Time,Arts,No Special Needs
3646,1,39,1,9085.0,1.0,1.0,133.1,1,3,3,4.0,2.0,144.9,1,0,0,1,0,0,26,0.0,0,6.0,11,3.0,11.75,0.0,0.0,6.0,19.0,4,12.8,0,12.4,0.5,1.79,Enrolled,Oslo,Youngest Child,Online,Commerce,No Special Needs
3914,2,43,1,9991.0,0.0,,,1,37,19,,4.0,140.0,0,0,1,1,0,0,34,,4,10.0,25,,,0.0,3.0,9.0,18.0,8,12.22222222222222,0,16.2,0.3,-0.92,Dropout,,,Part-Time,Commerce,Special Needs
2989,1,1,2,9254.0,1.0,1.0,137.0,1,38,19,9.0,7.0,125.1,1,0,0,1,0,0,18,0.0,0,6.0,10,4.0,11.75,0.0,0.0,6.0,9.0,5,11.2,0,7.6,2.6,0.32,Enrolled,Athens,First Child,Online,Science,No Special Needs
3654,1,1,1,9773.0,1.0,1.0,,1,1,19,4.0,10.0,129.4,1,0,0,1,0,0,18,0.0,0,6.0,6,6.0,12.833333333333334,,0.0,6.0,7.0,6,12.166666666666666,0,11.1,0.6,2.02,Graduate,,,Full-Time,Engineering,
1783,1,17,3,9147.0,1.0,1.0,,1,3,38,123.0,171.0,116.1,1,0,1,1,1,0,19,0.0,0,5.0,10,4.0,11.0,,0.0,5.0,13.0,2,12.0,0,8.9,1.4,3.51,Enrolled,Amsterdam,,Part-Time,Arts,
1739,2,39,1,9070.0,1.0,19.0,,1,37,37,9.0,10.0,126.3,0,0,0,0,1,0,38,0.0,0,6.0,6,0.0,0.0,,0.0,6.0,8.0,0,0.0,0,10.8,1.4,1.74,Dropout,Milan,,Online,Science,
1135,1,44,1,171.0,1.0,39.0,110.0,1,37,37,5.0,6.0,108.3,0,0,0,0,0,0,26,0.0,4,9.0,9,4.0,11.25,0.0,3.0,10.0,12.0,3,11.0,0,12.4,0.5,1.79,Dropout,Barcelona,First Child,Part-Time,Engineering,No Special Needs
2525,1,1,2,9085.0,1.0,1.0,122.0,1,3,1,4.0,7.0,116.1,1,0,0,1,0,0,18,0.0,0,6.0,13,6.0,13.153846153846152,0.0,0.0,6.0,12.0,3,11.0,0,15.5,2.8,-4.06,Graduate,Zurich,Youngest Child,Full-Time,Engineering,No Special Needs
1537,1,1,1,9238.0,1.0,1.0,141.0,1,38,19,9.0,10.0,125.6,1,0,0,1,0,1,18,0.0,0,6.0,6,6.0,12.666666666666666,0.0,0.0,6.0,6.0,6,12.0,0,9.4,-0.8,-3.12,Graduate,Brussels,First Child,Part-Time,Commerce,Special Needs
2095,1,43,1,9130.0,1.0,1.0,140.0,1,3,3,2.0,2.0,140.0,0,0,0,1,0,0,20,0.0,10,17.0,29,14.0,12.5625,4.0,7.0,12.0,24.0,12,12.857142857142858,1,15.5,2.8,-4.06,Graduate,Warsaw,First Child,Evening Classes,Engineering,Special Needs
3311,1,1,2,9085.0,1.0,1.0,156.0,1,40,40,3.0,7.0,150.9,1,0,0,1,0,0,18,0.0,0,6.0,8,6.0,16.0,0.0,0.0,6.0,10.0,6,14.625,0,11.1,0.6,2.02,Dropout,Amsterdam,Youngest Child,Evening Classes,Science,No Special Needs
841,1,17,1,9147.0,1.0,1.0,116.0,1,3,1,3.0,4.0,115.7,0,0,0,0,1,0,22,0.0,0,5.0,10,4.0,11.5,0.0,0.0,5.0,11.0,4,14.0,0,8.9,1.4,3.51,Enrolled,Zurich,Youngest Child,Online,Medicine,Special Needs
3778,1,44,1,9085.0,1.0,39.0,160.0,1,1,1,4.0,4.0,160.0,1,0,0,1,0,0,23,0.0,1,6.0,12,4.0,13.4,0.0,1.0,6.0,17.0,2,13.5,0,12.4,0.5,1.79,Enrolled,Warsaw,First Child,Online,Commerce,Special Needs
2643,1,39,1,9991.0,0.0,1.0,,1,37,1,5.0,4.0,151.2,0,0,0,1,1,0,25,0.0,0,5.0,11,4.0,11.5,,0.0,5.0,11.0,3,13.5,0,12.4,0.5,1.79,Dropout,Helsinki,,Online,Medicine,
1517,1,17,1,171.0,1.0,1.0,,1,19,1,4.0,1.0,131.9,1,0,0,1,1,0,19,0.0,6,12.0,12,12.0,13.583333333333334,,4.0,11.0,12.0,11,13.583333333333334,0,8.9,1.4,3.51,Graduate,Helsinki,,Online,Commerce,
965,1,44,1,9003.0,1.0,39.0,,1,4,1,2.0,8.0,120.0,0,0,0,1,1,0,21,0.0,0,6.0,9,5.0,13.4,,0.0,6.0,9.0,5,12.4,0,8.9,1.4,3.51,Graduate,Sofia,,Online,Medicine,
528,1,39,1,,1.0,1.0,,1,37,37,9.0,9.0,110.3,0,0,1,0,1,0,26,0.0,0,,5,0.0,,,,5.0,9.0,0,0.0,0,10.8,1.4,1.74,Dropout,,,Part-Time,Science,
176,1,39,1,9853.0,1.0,1.0,,1,37,19,9.0,5.0,102.5,0,0,0,1,0,0,27,0.0,0,6.0,9,5.0,13.2,,0.0,6.0,10.0,5,12.0,0,7.6,2.6,0.32,Graduate,Kyiv,,Online,Arts,
422,1,44,1,,1.0,39.0,140.0,1,1,2,4.0,6.0,140.0,1,0,0,1,0,0,29,0.0,0,,0,0.0,,0.0,,6.0,0.0,0,0.0,0,15.5,2.8,-4.06,Dropout,Athens,Middle Child,Part-Time,Science,No Special Needs
3319,1,16,2,9070.0,1.0,1.0,,1,1,1,3.0,1.0,141.2,1,0,1,1,1,0,19,0.0,0,6.0,11,5.0,11.2,,0.0,6.0,7.0,6,12.0,0,9.4,-0.8,-3.12,Graduate,Paris,,Part-Time,Commerce,
3893,4,39,1,9085.0,1.0,1.0,110.0,1,37,37,90.0,90.0,110.0,0,0,0,0,0,0,35,0.0,0,5.0,14,1.0,12.0,2.0,0.0,5.0,11.0,2,10.5,1,9.4,-0.8,-3.12,Dropout,Dublin,Middle Child,Full-Time,Arts,No Special Needs
2440,1,18,3,9147.0,1.0,1.0,133.1,1,1,38,4.0,7.0,101.0,1,0,0,0,1,0,23,0.0,0,5.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0,0.0,0,8.9,1.4,3.51,Dropout,Bucharest,First Child,Full-Time,Arts,No Special Needs
1377,1,1,1,171.0,1.0,1.0,,1,37,19,7.0,7.0,134.4,1,0,0,1,1,1,18,0.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,10.8,1.4,1.74,Graduate,Dublin,,Full-Time,Arts,
572,1,17,6,,1.0,1.0,111.0,1,19,3,5.0,10.0,106.5,1,0,0,1,1,0,19,0.0,0,,10,3.0,,0.0,,5.0,11.0,3,10.8,0,12.4,0.5,1.79,Dropout,Paris,First Child,Full-Time,Arts,Special Needs
2765,1,16,4,9500.0,1.0,1.0,145.0,1,1,1,4.0,4.0,127.5,1,0,0,1,0,0,18,0.0,0,8.0,8,8.0,13.11,0.0,0.0,8.0,8.0,8,13.11,0,9.4,-0.8,-3.12,Graduate,Prague,Youngest Child,Evening Classes,Arts,No Special Needs
288,1,18,2,8014.0,0.0,,,1,3,1,,4.0,111.8,1,0,0,1,0,1,19,,0,6.0,8,,,,0.0,6.0,9.0,6,11.5,0,10.8,1.4,1.74,Graduate,,,Online,Commerce,
3616,1,1,1,9119.0,1.0,1.0,148.0,1,19,19,9.0,8.0,129.8,0,0,0,0,1,1,18,0.0,0,5.0,6,5.0,15.0,0.0,0.0,5.0,6.0,5,14.2,0,8.9,1.4,3.51,Enrolled,Edinburgh,Youngest Child,Evening Classes,Commerce,Special Needs
3805,2,43,1,9991.0,0.0,,,1,37,37,,9.0,110.0,1,0,0,1,0,0,38,,4,10.0,14,,,0.0,2.0,10.0,10.0,2,10.0,0,7.6,2.6,0.32,Dropout,,,Evening Classes,Arts,No Special Needs
3161,1,1,1,9254.0,1.0,1.0,138.0,41,1,1,9.0,9.0,126.5,1,0,0,1,0,1,20,1.0,0,6.0,7,6.0,12.857142857142858,0.0,0.0,6.0,8.0,5,11.8,0,8.9,1.4,3.51,Graduate,Sofia,Youngest Child,Part-Time,Commerce,Special Needs
2182,1,43,1,9500.0,1.0,1.0,140.0,1,19,19,7.0,7.0,138.6,0,0,0,1,0,1,19,0.0,0,7.0,9,6.0,14.25,0.0,0.0,8.0,11.0,8,13.063636363636364,0,16.2,0.3,-0.92,Graduate,Vienna,Youngest Child,Online,Science,No Special Needs
2496,1,1,1,171.0,1.0,1.0,,1,19,37,9.0,9.0,158.1,1,0,0,1,1,1,20,0.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,10.8,1.4,1.74,Graduate,,,Full-Time,Science,
3166,1,17,2,,1.0,1.0,123.0,1,3,1,2.0,3.0,124.1,1,0,0,1,0,0,18,0.0,0,,7,2.0,,0.0,,6.0,6.0,1,10.0,0,15.5,2.8,-4.06,Dropout,Vienna,Middle Child,Evening Classes,Arts,No Special Needs
3754,1,39,1,9085.0,1.0,19.0,,1,19,37,7.0,90.0,104.0,0,0,0,1,0,0,26,0.0,0,5.0,11,1.0,12.0,,0.0,5.0,12.0,0,0.0,4,10.8,1.4,1.74,Dropout,Paris,,Online,Medicine,
3613,1,1,1,9119.0,1.0,1.0,132.0,1,1,12,3.0,3.0,133.1,1,0,0,1,1,0,19,0.0,0,5.0,7,3.0,12.0,0.0,0.0,6.0,10.0,2,10.5,0,11.1,0.6,2.02,Dropout,Warsaw,Middle Child,Evening Classes,Commerce,No Special Needs
1684,1,17,3,9070.0,1.0,1.0,,1,37,37,5.0,5.0,124.5,1,0,0,1,1,0,18,0.0,0,6.0,6,6.0,14.166666666666666,,0.0,6.0,8.0,5,13.0,0,10.8,1.4,1.74,Graduate,Warsaw,,Part-Time,Arts,
2153,1,42,1,9238.0,1.0,1.0,133.1,1,1,19,4.0,9.0,134.0,0,0,0,1,0,0,21,0.0,10,13.0,21,11.0,13.272727272727272,0.0,6.0,11.0,13.0,9,13.0,0,7.6,2.6,0.32,Graduate,Munich,First Child,Evening Classes,Science,Special Needs
2267,1,1,4,9147.0,1.0,1.0,,1,3,1,3.0,4.0,109.1,1,0,0,1,1,0,19,0.0,0,5.0,5,0.0,0.0,,0.0,5.0,5.0,0,0.0,0,12.4,0.5,1.79,Dropout,Kyiv,,Part-Time,Commerce,
383,1,1,1,9853.0,1.0,1.0,125.0,1,19,19,5.0,5.0,117.0,0,0,0,1,0,1,19,0.0,0,6.0,7,6.0,13.428571428571429,0.0,0.0,6.0,6.0,6,13.166666666666666,0,15.5,2.8,-4.06,Graduate,Amsterdam,Youngest Child,Part-Time,Commerce,No Special Needs
3720,1,44,1,9003.0,1.0,1.0,,1,1,3,144.0,123.0,120.0,0,0,0,1,1,0,19,0.0,0,6.0,17,1.0,11.0,,0.0,6.0,19.0,0,0.0,0,16.2,0.3,-0.92,Enrolled,Paris,,Online,Engineering,
370,2,43,1,8014.0,0.0,1.0,160.0,1,37,39,9.0,4.0,140.9,0,0,0,1,0,0,50,0.0,7,11.0,11,11.0,13.545454545454543,0.0,3.0,7.0,7.0,7,13.571428571428571,0,16.2,0.3,-0.92,Graduate,Munich,Middle Child,Full-Time,Medicine,No Special Needs
2319,1,17,1,,1.0,1.0,,1,1,1,4.0,8.0,145.2,0,0,0,1,1,0,20,0.0,0,,7,6.0,,,,6.0,8.0,6,14.714285714285714,0,16.2,0.3,-0.92,Graduate,Istanbul,,Full-Time,Science,
2249,1,1,1,9130.0,1.0,1.0,,1,1,1,4.0,10.0,138.9,1,0,0,1,1,0,18,0.0,0,5.0,5,5.0,13.6,,0.0,5.0,6.0,4,13.25,1,10.8,1.4,1.74,Graduate,Prague,,Part-Time,Science,
4227,1,1,6,9238.0,1.0,1.0,125.0,1,38,1,7.0,4.0,118.4,1,0,0,1,0,1,19,0.0,0,6.0,6,6.0,13.5,0.0,0.0,6.0,7.0,6,13.285714285714286,0,11.1,0.6,2.02,Graduate,Bucharest,First Child,Evening Classes,Engineering,Special Needs
1105,1,1,4,171.0,1.0,1.0,139.0,1,37,38,9.0,9.0,127.8,1,0,0,1,0,0,19,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10.8,1.4,1.74,Dropout,Saint Petersburg,First Child,Part-Time,Engineering,No Special Needs
2019,1,1,2,9773.0,1.0,1.0,143.0,1,1,1,4.0,9.0,144.1,1,0,0,1,1,1,19,0.0,0,6.0,7,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6,13.833333333333334,0,12.7,3.7,-1.7,Graduate,Barcelona,Youngest Child,Full-Time,Arts,No Special Needs
4077,1,1,5,9070.0,1.0,1.0,,1,34,1,5.0,7.0,129.8,1,0,0,1,0,0,18,0.0,0,6.0,7,2.0,11.0,,0.0,6.0,0.0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Sofia,,Evening Classes,Science,
3229,1,1,6,9500.0,1.0,1.0,,1,38,38,5.0,5.0,114.2,1,0,0,1,0,0,20,0.0,0,7.0,9,6.0,13.683333333333332,,0.0,8.0,11.0,6,13.116666666666667,0,11.1,0.6,2.02,Graduate,,,Online,Medicine,
1634,2,39,1,9991.0,0.0,1.0,,1,37,37,9.0,10.0,150.0,0,0,0,1,1,0,49,0.0,0,5.0,6,5.0,12.2,,0.0,5.0,9.0,5,11.8,0,15.5,2.8,-4.06,Graduate,,,Online,Medicine,
141,1,1,6,9773.0,1.0,,,1,19,1,,4.0,110.1,1,0,0,1,0,1,19,,0,6.0,8,,,,0.0,6.0,10.0,5,12.0,0,12.4,0.5,1.79,Graduate,,,Full-Time,Commerce,
4037,1,17,1,9238.0,1.0,1.0,,1,37,37,9.0,9.0,122.0,1,0,0,1,0,1,21,0.0,0,6.0,8,1.0,10.0,,0.0,6.0,13.0,5,11.4,0,12.7,3.7,-1.7,Enrolled,Barcelona,,Evening Classes,Science,
491,1,1,1,9670.0,,1.0,,1,37,37,5.0,,124.0,0,0,0,1,0,0,19,,0,6.0,7,6.0,14.857142857142858,,0.0,,,6,,0,12.4,,1.79,Graduate,,,Part-Time,Medicine,
2025,1,43,1,9500.0,1.0,1.0,,1,4,19,4.0,10.0,100.0,0,0,0,1,1,0,18,0.0,0,7.0,7,7.0,11.828571428571427,,0.0,8.0,10.0,7,12.9125,0,13.9,-0.3,0.79,Graduate,Stockholm,,Full-Time,Arts,
198,1,1,1,,1.0,1.0,130.0,1,19,19,3.0,8.0,131.8,0,0,0,1,0,0,18,0.0,0,,9,7.0,,0.0,,7.0,8.0,7,14.428571428571429,0,11.1,0.6,2.02,Graduate,Lisbon,Youngest Child,Full-Time,Science,Special Needs
2302,1,1,1,9147.0,1.0,1.0,130.0,1,37,37,9.0,9.0,118.8,0,0,1,1,1,1,22,0.0,0,5.0,8,5.0,10.666666666666666,0.0,0.0,5.0,11.0,2,11.0,0,15.5,2.8,-4.06,Enrolled,Sofia,First Child,Evening Classes,Science,No Special Needs
4291,1,1,1,171.0,1.0,1.0,137.0,1,1,38,4.0,5.0,130.4,1,0,0,1,1,0,19,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,15.5,2.8,-4.06,Graduate,Istanbul,Middle Child,Part-Time,Engineering,Special Needs
1171,1,17,4,9500.0,1.0,,,1,1,19,,3.0,121.3,1,0,0,1,1,1,18,,0,8.0,8,,,0.0,0.0,8.0,8.0,7,15.07,0,10.8,1.4,1.74,Graduate,,,Part-Time,Science,No Special Needs
1226,1,1,1,9147.0,1.0,1.0,160.0,1,9,19,4.0,3.0,151.3,0,0,0,1,0,0,23,0.0,0,5.0,8,3.0,10.666666666666666,0.0,0.0,5.0,8.0,5,11.6,0,7.6,2.6,0.32,Graduate,Edinburgh,Middle Child,Part-Time,Medicine,Special Needs
3406,1,16,3,9853.0,1.0,,,1,19,37,,9.0,121.1,1,0,0,1,0,0,19,,0,6.0,8,,,,0.0,6.0,8.0,5,11.8,0,10.8,1.4,1.74,Enrolled,,,Evening Classes,Medicine,
1422,1,17,3,9238.0,1.0,1.0,141.0,1,19,38,9.0,7.0,125.6,1,0,0,1,0,1,19,0.0,0,6.0,8,6.0,11.333333333333334,0.0,0.0,6.0,6.0,6,11.833333333333334,0,8.9,1.4,3.51,Graduate,Venice,Middle Child,Evening Classes,Medicine,No Special Needs
3537,1,39,2,9147.0,1.0,19.0,,1,38,19,4.0,10.0,116.3,0,0,0,0,1,0,32,0.0,0,5.0,5,0.0,0.0,,0.0,5.0,9.0,0,0.0,0,10.8,1.4,1.74,Dropout,Athens,,Full-Time,Engineering,
1760,1,1,2,9238.0,1.0,1.0,,1,19,19,191.0,171.0,119.3,1,0,1,1,0,0,20,0.0,0,6.0,7,6.0,12.666666666666666,,0.0,6.0,7.0,6,11.833333333333334,0,8.9,1.4,3.51,Graduate,Lisbon,,Part-Time,Science,
3888,1,17,1,9085.0,1.0,1.0,139.0,1,38,38,5.0,3.0,136.2,0,0,0,1,0,0,19,0.0,0,5.0,7,5.0,13.0,1.0,0.0,5.0,7.0,5,13.333333333333334,0,7.6,2.6,0.32,Graduate,Venice,First Child,Online,Arts,Special Needs
2092,1,1,1,,1.0,1.0,,1,5,4,2.0,1.0,140.8,0,0,0,1,0,0,18,0.0,0,,8,7.0,,,,8.0,8.0,7,15.7,0,12.7,3.7,-1.7,Graduate,London,,Full-Time,Engineering,
195,1,39,1,9991.0,,40.0,130.0,1,19,1,3.0,,152.0,1,0,0,1,0,0,27,,0,5.0,0,0.0,0.0,0.0,0.0,,,0,,0,8.9,,3.51,Dropout,,Middle Child,Evening Classes,Arts,No Special Needs
1556,1,1,1,9119.0,1.0,1.0,,1,37,19,9.0,5.0,140.2,1,0,0,1,1,0,20,0.0,0,5.0,5,0.0,0.0,,0.0,5.0,0.0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Paris,,Evening Classes,Arts,
3427,1,1,1,9238.0,1.0,1.0,,1,19,1,4.0,3.0,125.2,1,0,0,1,0,0,20,0.0,0,6.0,7,6.0,11.666666666666666,,0.0,6.0,10.0,6,11.333333333333334,0,7.6,2.6,0.32,Graduate,Edinburgh,,Full-Time,Commerce,
874,1,1,1,9003.0,1.0,1.0,,1,1,19,194.0,194.0,143.5,0,0,1,1,1,0,18,0.0,0,6.0,6,5.0,15.0,,0.0,6.0,8.0,4,14.5,0,8.9,1.4,3.51,Graduate,Munich,,Evening Classes,Engineering,
2924,2,39,1,9500.0,1.0,1.0,,1,19,37,6.0,6.0,120.0,0,0,0,1,0,1,32,0.0,0,8.0,9,7.0,12.757142857142856,,0.0,8.0,9.0,7,12.757142857142856,0,12.7,3.7,-1.7,Graduate,Rome,,Part-Time,Engineering,
3949,1,43,1,9147.0,1.0,1.0,,1,1,19,9.0,10.0,147.8,0,0,0,1,0,1,18,0.0,0,5.0,9,5.0,13.2,,0.0,5.0,13.0,5,14.4,5,16.2,0.3,-0.92,Graduate,Brussels,,Evening Classes,Arts,
3268,2,39,1,9500.0,1.0,1.0,,1,37,38,9.0,8.0,118.9,0,0,0,1,0,0,30,0.0,0,7.0,0,0.0,0.0,,0.0,8.0,0.0,0,0.0,0,13.9,-0.3,0.79,Dropout,Edinburgh,,Evening Classes,Arts,
840,1,1,1,9147.0,1.0,,,41,3,3,,9.0,107.0,0,0,1,0,0,0,19,,0,5.0,14,,,0.0,0.0,5.0,5.0,0,0.0,0,8.9,1.4,3.51,Dropout,,,Full-Time,Medicine,No Special Needs
2411,2,39,1,8014.0,,1.0,,1,34,34,90.0,,116.0,0,0,0,0,0,0,51,,0,6.0,13,4.0,11.25,,0.0,,,0,,1,10.8,,1.74,Dropout,,,Part-Time,Arts,
581,1,17,5,9500.0,1.0,1.0,,1,12,1,5.0,5.0,133.0,1,0,0,1,0,0,18,0.0,0,7.0,8,7.0,12.5375,,0.0,8.0,9.0,7,12.614285714285714,0,13.9,-0.3,0.79,Graduate,Istanbul,,Part-Time,Commerce,
3606,1,44,1,9070.0,1.0,39.0,,1,1,1,4.0,4.0,106.0,0,0,0,1,1,0,21,0.0,2,7.0,7,5.0,11.8,,5.0,9.0,9.0,5,11.0,0,12.4,0.5,1.79,Dropout,Stockholm,,Part-Time,Medicine,
2880,4,39,1,8014.0,0.0,19.0,,1,37,37,9.0,7.0,134.5,0,0,0,1,0,1,47,0.0,0,6.0,8,5.0,12.2,,0.0,6.0,10.0,4,11.25,0,12.4,0.5,1.79,Graduate,Prague,,Part-Time,Medicine,
4264,1,44,1,9003.0,1.0,39.0,,1,37,19,9.0,9.0,150.0,0,0,0,1,1,1,24,0.0,0,6.0,9,6.0,13.555555555555555,,0.0,6.0,7.0,6,12.666666666666666,0,13.9,-0.3,0.79,Graduate,Edinburgh,,Full-Time,Engineering,
905,1,1,3,9500.0,1.0,1.0,114.0,1,1,1,5.0,5.0,114.5,1,0,0,1,0,1,19,0.0,0,7.0,7,7.0,13.094285714285714,0.0,0.0,8.0,8.0,8,12.55,0,12.4,0.5,1.79,Graduate,Vienna,Middle Child,Full-Time,Commerce,No Special Needs
631,1,1,2,9853.0,1.0,1.0,117.0,1,1,38,4.0,9.0,109.7,1,0,0,1,0,0,19,0.0,0,6.0,9,5.0,12.2,0.0,0.0,6.0,10.0,4,13.0,0,9.4,-0.8,-3.12,Enrolled,Stockholm,First Child,Online,Science,No Special Needs
2429,1,42,1,9119.0,,1.0,,1,34,34,0.0,,128.2,1,0,0,1,1,0,35,,6,10.0,12,7.0,11.285714285714286,,2.0,,,5,,0,9.4,,-3.12,Dropout,,,Part-Time,Engineering,
1615,2,39,1,9085.0,1.0,19.0,,1,19,19,9.0,5.0,101.0,1,0,0,1,0,0,26,0.0,0,6.0,21,3.0,12.666666666666666,,0.0,6.0,15.0,2,11.0,0,15.5,2.8,-4.06,Dropout,Helsinki,,Part-Time,Arts,
162,1,1,2,9500.0,1.0,1.0,134.0,1,19,19,9.0,9.0,125.8,1,0,0,1,0,0,18,0.0,0,7.0,8,7.0,14.91875,0.0,0.0,8.0,8.0,8,15.355,0,15.5,2.8,-4.06,Graduate,London,First Child,Online,Arts,Special Needs
3856,1,39,1,9254.0,1.0,1.0,,1,37,37,9.0,9.0,115.0,0,0,0,1,1,0,36,0.0,0,6.0,8,6.0,13.571428571428571,,0.0,6.0,9.0,5,13.2,0,12.7,3.7,-1.7,Graduate,Warsaw,,Part-Time,Commerce,
2796,1,39,1,9500.0,1.0,1.0,,1,37,37,9.0,9.0,141.0,0,0,0,1,1,0,36,0.0,0,7.0,0,0.0,0.0,,0.0,8.0,0.0,0,0.0,0,12.4,0.5,1.79,Dropout,Saint Petersburg,,Part-Time,Commerce,
3869,1,39,1,9085.0,1.0,1.0,133.1,1,1,1,4.0,4.0,120.0,0,0,1,0,1,0,31,0.0,0,5.0,13,4.0,13.5,1.0,0.0,5.0,12.0,3,11.666666666666666,1,9.4,-0.8,-3.12,Dropout,Oslo,First Child,Full-Time,Engineering,No Special Needs
1877,1,1,5,9500.0,1.0,1.0,143.0,1,37,19,4.0,4.0,123.3,1,0,0,1,1,0,18,0.0,0,7.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,0,7.6,2.6,0.32,Dropout,Zurich,Middle Child,Evening Classes,Science,Special Needs
617,1,17,1,9500.0,1.0,1.0,,1,37,37,9.0,8.0,130.6,1,0,0,1,0,0,20,0.0,0,7.0,8,7.0,12.847142857142858,,0.0,8.0,10.0,8,13.788888888888888,0,16.2,0.3,-0.92,Graduate,Warsaw,,Online,Science,
